1;1;Штирлиц
1;2;Мюллер
1;3;Кэт
1;4;пастор Шлаг
1;5;Шелленберг
1;6;Плейшнер
1;7;Гельмут
2;8;Пьер Безухов
2;9;Наташа Ростова
2;1;Андрей Болконский
2;5;Николай Ростов
2;10;Кутузов
2;11;Николай Андреевич Болконский
2;12;Лиза Болконская
