1;Семнадцать мгновений весны;1973;Время и место действия — Германия, канун Победы в Великой Отечественной войне. Советский разведчик полковник Исаев, он же — штандартенфюрер СС Штирлиц, исполняет последние задания Центра, диктуемые ходом военных действий и политическими интригами верхов противоборствующих сторон.
2;Война и мир;1965;Эпическое кинополотно известнейшего советского кинорежиссера Сергея Бондарчука по роману Льва Толстого «Война и мир» с участием всех звезд советского кинематографа.
